TRAVELER_ID,TRAVEL_ID,VISIT_ORDER,VISIT_AREA_NM_NP,VISIT_AREA_NM,VISIT_AREA_TYPE_CD,X_COORD,Y_COORD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION
d003517,d_d003517,23,라바북스,라바북스,TOU,126.6568211,33.27441974,4,4,4
d003517,d_d003517,24,스나쿠타카,스나쿠타카,RES,126.4039748,33.48361382,5,5,5
d003517,d_d003517,25,도두몰,도두몰,TOU,126.4833912,33.5106123,4,3,3
d003517,d_d003517,26,돈떵이,돈떵이,RES,126.4907166,33.48410161,4,4,4
d003517,d_d003517,27,옥화네포차,옥화네포차,RES,126.4904365,33.48490828,4,4,4
d003517,d_d003517,29,신설오름,신설오름,RES,126.5415615,33.50541905,5,4,4
d003518,d_d003518,2,산토샤,산토샤,RES,126.2928795,33.23049216,5,4,4
d003518,d_d003518,4,산방산,산방산,TOU,126.3133696,33.2415643,4,4,4
d003518,d_d003518,6,이중섭거리,이중섭거리,TOU,126.5640039,33.24761378,4,4,4
d003518,d_d003518,7,이중섭미술관,이중섭미술관,TOU,126.564888,33.24590378,4,4,4
d003518,d_d003518,8,서귀포매일올레시장,서귀포매일올레시장,TOU,126.5632316,33.25015006,4,4,4
d003518,d_d003518,10,제주별책부록,제주별책부록,TOU,126.5585813,33.24771998,5,5,5
d003518,d_d003518,11,서귀포예술의전당,서귀포예술의전당,TOU,126.5507905,33.24633333,4,4,4
d003518,d_d003518,12,귤꽃다락,귤꽃다락,RES,126.5225393,33.24640841,4,4,4
d003518,d_d003518,13,올레길 7코스(서귀포-월평 올레),올레길 7코스(서귀포-월평 올레),TOU,126.5153097,33.23738579,4,4,4
d003519,d_d003519,4,제주미향,제주미향,RES,126.4163459,33.25513752,3,2,2
d003519,d_d003519,7,산양큰엉곶,산양큰엉곶,TOU,126.2506311,33.29092307,5,5,5
d003519,d_d003519,8,협재해수욕장,협재해수욕장,TOU,126.2391575,33.39386608,5,5,5
d003519,d_d003519,9,듬삭한,듬삭한,RES,126.2494256,33.40020727,4,4,4
d003519,d_d003519,10,카페노티드 제주애월,카페노티드 제주애월,RES,126.3097228,33.46327185,3,4,4
d003519,d_d003519,11,새별오름,새별오름,TOU,126.3577307,33.36627759,4,3,4
d003519,d_d003519,12,돈사돈 별관,돈사돈 별관,RES,126.4707164,33.4817045,3,2,2
d003519,d_d003519,14,연돈,연돈,RES,126.4071581,33.25889529,4,2,3
d003519,d_d003519,15,논짓물해수족욕카페,논짓물해수족욕카페,TOU,126.3879816,33.23718513,4,3,4
d003519,d_d003519,16,휴일로,휴일로,RES,126.366525,33.23220806,4,5,5
d003519,d_d003519,18,카페테,카페테,RES,126.437742,33.2517928,4,5,4
d003519,d_d003519,21,서귀포매일올레시장,서귀포매일올레시장,TOU,126.5632316,33.25015006,4,4,4
d003519,d_d003519,23,프레드허쉬,프레드허쉬,RES,126.5647829,33.24480973,4,4,4
2210220003,d_d003519,26,1950에어차이나 제주공항점,1950에어차이나 제주공항점,RES,126.4930713,33.50690889,4,2,2
d003521,d_d003521,2,하노이안브라더스,하노이안브라더스,RES,126.5435713,33.50962248,5,5,5
d003521,d_d003521,4,고스트타운,고스트타운,TOU,126.3569359,33.47619484,4,3,4
d003521,d_d003521,6,제주감귤치킨 사계본점,제주감귤치킨 사계본점,RES,126.3097494,33.23379216,4,3,3
d003521,d_d003521,8,송악산둘레길,송악산둘레길,TOU,126.2930752,33.19682324,5,5,5
d003521,d_d003521,9,뷰스트,뷰스트,RES,126.3034811,33.2277786,5,4,4
d003521,d_d003521,10,레이저아레나 엑스 제주점,레이저아레나 엑스 제주점,TOU,126.385571,33.26367546,5,3,5
d003521,d_d003521,12,연안식당 제주연동점,연안식당 제주연동점,RES,126.4966421,33.4820269,5,5,5
